governorate,governorates
jenin,Jenin
tubas,Tubas
tulkarm,Tulkarm
nablus,Nablus
qalqilya,Qalqiliya
salfit,Salfit
ramallah_bireh,Ramallah & Al Bireh
jericho,Jericho & Al Aghwar
jerusalem,Jerusalem
bethlehem,Bethlehem
hebron,Hebron
northgaza,North Gaza
gaza,Gaza
deir_albalah,Deir Al Balah
khanyunis,Khan Yunis
rafah,Rafah
